id,plataforma,cidade,bairro,titulo,preco_aluguel,quartos,area_m2,status,data_descoberta,data_atualizacao,link
re_max_c81879d0df,RE/MAX,Salvador,Geral,"Bahia, Salvador Imobiliária e Todos os tipos de imóvel Alugar",0.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.remax.com.br/imoveis-para-alugar-salvador/
re_max_77836c30b9,RE/MAX,Salvador,Geral,"Bahia, Salvador Imobiliária e Todos os tipos de imóvel Alugar",0.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.remax.com.br/listings?City=6548880&CityNM=6548880-Bahia%2C+Salvador&ListingClass=-1&TransactionTypeUID=260
re_max_7af77701ba,RE/MAX,Salvador,Geral,"Bahia, Salvador Residencial Imobiliária e Casa Alugar",0.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.remax.com.br/aluguel-imoveis-salvador/
re_max_1403367c87,RE/MAX,Lauro de Freitas,Geral,"Bahia, Região Nordeste Imobiliária e Todos os tipos de imóvel Venda",0.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.remax.com.br/imobiliaria-remax-lauro-de-freitas/
re_max_d5594e3c53,RE/MAX,Lauro de Freitas,Geral,Casa,0.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.remax.com.br/pt-br/imoveis/casa/alugar/lauro-de-freitas/26-rua-dos-vereadores-proximo-ao-condominio-lozart/580421065-80
re_max_d0de615042,RE/MAX,Lauro de Freitas,Geral,Casa,0.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.remax.com.br/pt-br/imoveis/casa/alugar/lauro-de-freitas/580551108-87
re_max_56713e2475,RE/MAX,Lauro de Freitas,Geral,"Bahia, Lauro de Freitas Imobiliária e Casa Venda",0.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.remax.com.br/listings?MacroPropertyTypeUIDs=3237&TransactionTypeUID=261&City=6577912&CityNM=6577912-Lauro%20de%20Freitas
re_max_fc510aba83,RE/MAX,Lauro de Freitas,Geral,Sobrado Para Alugar Vilas Do Atlantico Lauro De Freitas Bahia,0.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.remax.com.br/sobrado-para-alugar-vilas-do-atlantico-lauro-de-freitas-bahia/
