id,plataforma,cidade,bairro,titulo,preco_aluguel,quartos,area_m2,status,data_descoberta,data_atualizacao,link
olx_casa_8a9913d81a,OLX,Camaçari,Busca Vida,"Casa de condomínio com 2 quartos para alugar - Camaçari, Grande ...",5500.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.olx.com.br/imoveis/aluguel/casas/casas-de-condominio/2-quartos/estado-ba/grande-salvador/grande-salvador/camacari
olx_casa_be5618230c,OLX,Lauro de Freitas,Geral,"Casas com 3 quartos para alugar - Lauro de Freitas, Grande Salvador",0.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.olx.com.br/imoveis/aluguel/casas/3-quartos/estado-ba/grande-salvador/grande-salvador/lauro-de-freitas
olx_casa_31359f6492,OLX,Lauro de Freitas,Vilas do Atlântico,"Casas com 2 quartos para alugar - Lauro de Freitas, Grande Salvador",5000.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.olx.com.br/imoveis/aluguel/casas/2-quartos/estado-ba/grande-salvador/grande-salvador/lauro-de-freitas
olx_casa_191e90fbc1,OLX,Lauro de Freitas,Buraquinho,"Casas com 4 quartos para alugar - Lauro de Freitas, Grande Salvador",4700.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.olx.com.br/imoveis/aluguel/casas/4-quartos/estado-ba/grande-salvador/grande-salvador/lauro-de-freitas
olx_casa_41931e3cfa,OLX,Santo Amaro,Geral,"Imóveis para alugar - Santo Amaro, BA",0.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.olx.com.br/imoveis/aluguel/estado-ba/regiao-de-feira-de-santana-e-alagoinhas/santo-amaro
olx_casa_1369f00d2e,OLX,Camaçari,Jauá,"""aluguel de casas em jauá com piscina"" - Casas para alugar no Brasil",350.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.olx.com.br/anuncios/aluguel-de-casas-em-jaua-com-piscina
olx_casa_57efac1db4,OLX,Camaçari,Jauá,"Encontramos ""casas em jauá para alugar com piscina""",350.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.olx.com.br/anuncios/casas-em-jaua-para-alugar-com-piscina
olx_casa_2581ead684,OLX,Camaçari,Geral,"Casas com 2 quartos para alugar - Camaçari, Grande Salvador - BA",500.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.olx.com.br/imoveis/aluguel/casas/2-quartos/mobiliado/estado-ba/grande-salvador/grande-salvador/camacari
olx_casa_704f200b3b,OLX,Salvador,Cabula,"Casas para alugar - Cabula Vi, Salvador - BA",5500.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.olx.com.br/imoveis/aluguel/casas/churrasqueira/estado-ba/grande-salvador/salvador/cabula-vi
olx_4b475ac22c,OLX,Lauro de Freitas,Geral,Casas para alugar,0.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.olx.com.br/imoveis/aluguel/casas/estado-ba/grande-salvador/grande-salvador/lauro-de-freitas
olx_e72068cd1f,OLX,Lauro de Freitas,Geral,Imóveis com 3 quartos para alugar,0.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.olx.com.br/imoveis/aluguel/3-quartos/estado-ba/grande-salvador/grande-salvador/lauro-de-freitas
olx_41c15c6532,OLX,Lauro de Freitas,Buraquinho,casas para alugar em lauro de freitas com piscina,5850.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.olx.com.br/anuncios/casas-para-alugar-em-lauro-de-freitas-com-piscina
olx_c68ca5e197,OLX,Santo Amaro,Geral,Casas à venda,0.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.olx.com.br/imoveis/venda/casas/estado-ba/regiao-de-feira-de-santana-e-alagoinhas/santo-amaro
olx_e2e3ce19d6,OLX,Santo Amaro,Geral,"""santo amaro bahia"" no Brasil",350.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.olx.com.br/anuncios/santo-amaro-bahia
olx_18ebc9ee09,OLX,Santo Amaro,Geral,Casas com 2 quartos à venda,75000.0,3,120.0,ativo,2026-06-28,2026-06-28,https://www.olx.com.br/imoveis/venda/casas/2-quartos/estado-ba/regiao-de-feira-de-santana-e-alagoinhas/santo-amaro
